title,authors,average_rating,isbn,# num_pages
Bone Idle (Superintendent Bone  #6),Jill Staynes-Margaret Storey,3.59,747243271,296
The Great Gatsby,Kathleen Parkinson-F. Scott Fitzgerald,3.88,140771972,144
Miss or Mrs?/ The Haunted Hotel/ The Guilty River,Wilkie Collins-Norman Page-Toru Sasaki,3.79,192833073,360
Cancer Ward,Aleksandr Solzhenitsyn-Nicholas William Bethell-David Burg,4.20,679601635,536
Black Hole  tome 3: Visions,Charles Burns,4.00,2840555522,63
Shade's Children,Garth Nix,3.90,64471969,345
The Adventures of Augie March,Saul Bellow-Christopher Hitchens,3.85,143039571,586
The Kitchen God's Wife,Amy Tan,4.00,143038109,416
Happy Times in Noisy Village,Astrid Lindgren-Ilon Wikland-Florence Lamborn,4.29,1883937663,128
Kilo Class (Admiral Arnold Morgan  #2),Patrick Robinson,4.04,61096857,512
The Hip-Hop Church: Connecting with the Movement Shaping Our Culture,Efrem Smith-Phil   Jackson,3.86,830833293,227
The Various Haunts of Men (Simon Serrailler  #1),Susan Hill,3.81,1585678767,438
The Women's Room,Marilyn French,3.95,1860492827,526
Dubliners,James Joyce-Jeri Johnson,3.85,192839993,207
The Last Castle/Nightwings (Tor Double Novel #15),Jack Vance-Robert Silverberg,3.71,812501942,182
Wabi-Sabi: For Artists  Designers  Poets & Philosophers,Leonard Koren,4.03,1880656124,95
The Power Of The Serpent,Peter Valentine Timlett,3.68,553023705,246
Sky The Blue Fairy (Rainbow Magic  #5),Daisy Meadows-Georgie Ripper,3.83,439746841,80
Vendredi,Robert A. Heinlein,3.83,2277217824,447
The Beach House,James Patterson-Peter de Jonge,3.84,446612545,356
Portrait Of An Artist  As An Old Man,Joseph Heller,3.22,074320848X,240
Acts of Faith,Philip Caputo,3.93,375725970,688
Asylum (Blackstone Chronicles  #6),John Saul,4.10,449227944,97
The Fairies: Photographic Evidence of the Existence of Another World,Suza Scalora,4.14,60282347,36
Problems of the Self: Philosophical Papers 1956 1972,Bernard Williams,4.02,521290600,276
Dostoevsky: The Stir of Liberation  1860-1865,Joseph Frank,4.51,691014523,416
Alaska,James A. Michener,4.11,037576142X,868
The Dark Mirror (The Bridei Chronicles  #1),Juliet Marillier,3.97,076530998X,512
Bleach  Volume 13,Tite Kubo,4.35,1421506114,208
The Feynman Lectures on Physics Vol 2,Richard P. Feynman-Robert B. Leighton-Matthew L. Sands,4.61,805390472,512
Moonraker's Bride,Madeleine Brent,4.30,449235947,319
The Giraffe Who Was Afraid of Heights (Physical & Behavioral Adaptation),David A. Ufer-Kirsten Carlson,3.81,976882302,32
Anne in Ingleside (Anne of Green Gables  #6),L.M. Montgomery,4.05,3785523823,251
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,4.05,64404773,256
The Dain Curse,Dashiell Hammett,3.83,752851802,256
Barrel Fever and Other Stories,David Sedaris-Amy Sedaris,3.79,1586212214,3
The Picture of Dorian Gray,Oscar Wilde-Jeffrey Eugenides,4.07,375751513,367
How to Write a Damn Good Mystery: A Practical Step-by-Step Guide from Inspiration to Finished Manuscript,James N. Frey,3.97,312304463,288
The Archimedes Effect (Tom Clancy's Net Force  #10),Steve Perry-Larry Segriff-Tom Clancy-Steve Pieczenik,3.98,425204243,336
Long Day's Journey: The Steamboat & Stagecoach Era in the Northern West,Carlos A. Schwantes,4.00,295976918,408
The Diary of Virginia Woolf  Volume Four: 1931-1935,Virginia Woolf-Anne Olivier Bell-Andrew McNeillie,4.44,156260395,420
Le Premier homme,Albert Camus-Catherine Camus,3.95,2070401014,384
The Flight of Icarus,Raymond Queneau-Barbara Wright,4.01,811204839,191
Bury the Chains,Adam Hochschild,4.27,618619070,496
Heart of the Sea (Gallaghers of Ardmore / Irish Trilogy  #3),Nora Roberts,4.15,515128554,369
Desert Dawn,Waris Dirie-Jeanne D'Haem,3.83,1844080080,240
Conversations With God: An Uncommon Dialogue  Book 3,Neale Donald Walsch,4.20,1571741038,392
Entre Amis: An Interactive Approach,Michael D. Oates-Larbi Oukada,3.52,618506918,528
Introducing Sartre (Introducing... S.),Philip Thody-Howard Read,3.55,1840466723,176
Sandra Brown: Three Complete Novels (Best Kept Secrets  Mirror Image  and Slow Heat in Heaven),Sandra Brown,4.21,517077744,784
Picture Perfect,Jodi Picoult,3.54,425185508,369
Early Greek Philosophy,Jonathan Barnes,4.09,140448152,336
Live Rich  Die Broke,Stephen M. Pollan,3.29,1594860165,482
Secret for a Nightingale,Victoria Holt,3.82,449212963,396
In Pursuit of the Proper Sinner (Inspector Lynley  #10),Elizabeth  George,4.09,553575104,752
Child of the Prophecy (Sevenwaters  #3),Juliet Marillier,4.11,765345013,596
Without Fail (Jack Reacher  #6),Lee Child-Dick Hill,4.16,1590860624,14
Songs in Ordinary Time,Mary McGarry Morris,3.70,140244824,740
Such a Good Girl and Other Crime Stories,Ed Gorman-Richard Laymon,3.60,786229985,256
The Steps (Steps  #1),Rachel Cohn,3.58,689874146,144
No Place Like Home,Mary Higgins Clark,3.86,743497287,472
State of War (Tom Clancy's Net Force  #7),Steve Perry-Tom Clancy-Steve Pieczenik-Larry Segriff,3.87,425188132,384
Cocolat: Extraordinary Chocolate Desserts,Alice Medrich-Patricia Brabant,4.55,446514195,192
The Battle for God: A History of Fundamentalism,Karen Armstrong,3.93,345391691,480
Mountain of Black Glass (Otherland  #3),Tad Williams,4.05,886779065,749
Looking for the Light: The Hidden Life and Art of Marion Post Wolcott,Paul Hendrickson-Marion Post Wolcott,4.08,394577299,297
The Blood Wood (Earthdawn 6113),FASA Corporation-Ian Lemke-Louis J. Prosperi,3.69,1555603130,152
Inconceivable: A Woman's Triumph Over Despair and Statistics,Julia Indichova-Christiane Northrup,3.82,767908201,224
Ellora's Cavemen: Dreams of the Oasis Volume II,Sylvia Day-B.J. McCall-Sahara Kelly-Elisa Adams-Denise A. Agnew-Anna J. Evans,3.64,1419954482,272
The Book of Ruth,Jane Hamilton,3.84,385265700,328
The Robots of Dawn (Robot #3),Isaac Asimov,4.15,553299492,435
Saving Faith,David Baldacci,3.86,446608890,528
Everything's Eventual: 14 Dark Tales,Stephen King,3.96,1416524355,605
Diamonds Are Forever (James Bond  #4),Ian Fleming,3.60,142002054,230
The Chemistry of Death (David Hunter  #1),Simon Beckett,4.10,385340044,320
Strong Opinions,Vladimir Nabokov,3.99,679726098,368
Scarlet Feather,Maeve Binchy,3.95,451203771,549
The Wit and Wisdom of Abraham Lincoln: A Book of Quotations,Abraham Lincoln-Bob Blaisdell,4.14,486440974,96
The Twelve Steps & Twelve Traditions of Overeaters Anonymous,Overeaters Anonymous,4.37,960989862,221
Running with the Demon (Word & Void #1),Terry Brooks,3.96,1857236076,503
Congo,Michael Crichton,3.58,60541830,442
Annals I,Tacitus-Norma  Miller,3.80,1853993581,272
Star Wars: The Approaching Storm,Alan Dean Foster,3.52,345443004,344
Mary Queen of Scots and the Murder of Lord Darnley,Alison Weir,4.03,712664564,640
The Jester,James Patterson-Andrew Gross,3.80,755300203,548
Fannie Flagg's Original Whistle Stop Cafe Cookbook,Fannie Flagg,4.18,449910288,224
Partners in Crime (Tommy and Tuppence #2),Agatha Christie,3.77,7111509,347
She Came to Stay,Simone de Beauvoir,3.90,6540805,416
The Complete Short Stories of Ernest Hemingway,Ernest Hemingway-John Hemingway-Patrick Hemingway-Gregory H. Hemingway-Charles Scribner Jr.,4.29,684843323,650
Physics of Fully Ionized Gases,Lyman S. Spitzer Jr.,4.33,486449823,192
The Waste Land and Other Writings,T.S. Eliot-Mary Karr,4.21,375759344,272
The Silent Gondoliers,William Goldman,3.80,345442636,128
I Am Legend,Richard Matheson,4.06,1857988094,160
Operating Instructions: A Journal of My Son's First Year,Anne Lamott,4.19,1400079098,251
The Last Hero (Discworld #27; Rincewind #7),Terry Pratchett-Paul Kidby,4.17,60507772,176
Island Of Bones (Louis Kincaid  #5),P.J. Parrish,4.01,786016051,384
Kushiel's Justice (Imriel's Trilogy  #2),Jacqueline Carey,4.25,446500038,703
The Confessions (Works of Saint Augustine 1),Augustine of Hippo-John E. Rotelle-Maria Boulding,3.91,1565480848,416
Tell Me No Lies,Elizabeth Lowell,3.98,373771258,576
The Valkyries,Paulo Coelho-Alan R. Clarke,3.31,62513346,212
Code,Charles Petzold,4.38,735611319,400
4.50 From Paddington (Miss Marple  #8),Agatha Christie,3.95,7191014,352
Tea with Jane Austen,Kim Wilson-Tom Carpenter,3.78,097212179X,128
The Promise,Chaim Potok,4.15,1400095417,368
The Weimar Republic: The Crisis of Classical Modernity,Detlev J.K. Peukert-Richard Deveson,3.82,809015560,360
The Case Book of Sherlock Holmes,Arthur Conan Doyle,4.19,425101940,254
The Anthology at the End of the Universe: Leading Science Fiction Authors on Douglas Adams' The Hitchhiker's Guide to the Galaxy,Glenn Yeffeth-Don DeBrandt-Cory Doctorow-Bruce Bethke-Adam Roberts-Lawrence Watt-Evans-Selina Rosen-Mark W. Tiedemann-Jacqueline Carey-Susan Sizemore-Vox Day-Stephen Baxter-A.M. Dellamonica-Marguerite Krause-John Shirley-Adam-Troy Castro-Amy Berner-Maria  Alexander-Marie-Catherine Caillava-Mike Byrne,3.85,1932100563,240
A Short History of Modern Philosophy (Routledge Classics),Roger Scruton,3.75,415267633,328
Pathologies of Power: Health  Human Rights and the New War on the Poor,Paul Farmer-Amartya Sen,4.25,520243269,438
Hell No  We Won't Go! Resisting the Draft During the Vietnam War,Sherry Gershon Gottlieb,4.50,670839353,274
Narcisse et Goldmund,Hermann Hesse,4.20,2253000043,251
Nathaniel Hawthorne: The Scarlet Letter: Essays  Articles  Reviews,Elmer Kennedy-Andrews,3.39,231121911,192
Trapped (Mississippi #2),Greg Iles,3.99,451207505,434
Fudge-a-Mania (Fudge  #4),Judy Blume,4.01,425193829,176
The Light of Day,Eric Ambler,3.74,375726799,224
The Aeneid (Verse Translation),Virgil-Rolfe Humphries,3.83,24277800,368
Never Far From Nowhere,Andrea Levy,3.68,747252130,282
The Way the Crow Flies,Ann-Marie MacDonald,4.09,60586370,848
Muerte Blanca,Clive Cussler-Paul Kemprecos,3.90,030734326X,421
Three Farmers on Their Way to a Dance,Richard Powers,3.84,60975091,352
Breathing Lessons,Anne Tyler,3.66,345485599,350
On Beauty,Zadie Smith,3.72,143037749,445
Jesus Freaks,Andre Duza,3.67,976249871,390
Sex and Reason,Richard A. Posner,3.90,674802802,458
Three Complete Novels: Tim/An Indecent Obsession/The Ladies of Missalonghi,Colleen McCullough,3.67,517201666,768
A Fine and Private Place/The Last Unicorn,Peter S. Beagle,4.44,1582880603,457
A Sudden Wild Magic,Diana Wynne Jones,3.76,575601973,380
Transmetropolitan  Vol. 2: Lust for Life,Warren Ellis-Darick Robertson,4.34,1563894815,208
Mr. Sammler's Planet,Saul Bellow-Stanley Crouch,3.75,142437832,288
The Last Quarry (Quarry #7),Max Allan Collins,3.92,843955937,201
Organizational Architecture: Designs for Changing Organizations,David A. Nadler-Robert B. Shaw-Marc S. Gerstein,4.62,1555424430,304
Journey of Awakening: A Meditator's Guidebook,Ram Dass-Richard Alpert,4.16,553285726,448
Thin Air (Spenser  #22),Robert B. Parker-David Dukes,3.90,425152901,320
Psychoshop,Alfred Bester-Roger Zelazny,3.60,679767827,207
Skinny Dip (Mick Stranahan #2),Carl Hiaasen,3.80,446615129,496
Arms and Armor: A Pictorial Archive from Nineteenth-Century Sources,Carol Belanger Grafton,3.96,486285618,128
This Present Darkness and Piercing the Darkness (Darkness #1-2),Frank E. Peretti,4.54,1581342144,813
Paradiso (The Divine Comedy  #3),Dante Alighieri-Dorothy L. Sayers-Barbara Reynolds,3.95,140441050,400
Uncle Fred in the Springtime (Blandings Castle  #6),P.G. Wodehouse,4.24,1841591300,288
Hairstyles of the Damned,Joe Meno,3.72,188845170X,270
The Amen Corner,James Baldwin,3.90,375701885,112
The Mysterious Affair at Styles (Hercule Poirot  #1),Agatha Christie,3.99,646418432,121
Brief Interviews with Hideous Men,David Foster Wallace,3.87,034911188X,273
The Dream and the Underworld,James Hillman,4.23,60906820,256
H.M.S. Unseen (Admiral Arnold Morgan  #3),Patrick Robinson-Sandler-David McCallum,4.01,61098019,544
Hoot,Carl Hiaasen,3.82,440421705,292
Father of Frankenstein,Christopher Bram,4.11,452273374,276
Ten Kids  No Pets,Ann M. Martin,3.89,590422448,174
The Riverside Milton,John Milton-Roy C. Flannagan,4.26,395809991,1248
The Altman Code (Covert-One  #4),Gayle Lynds-Robert Ludlum-Don Leslie,3.94,1593978863,0
E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,4.09,425181642,337
Checkpoint,Nicholson Baker,2.89,1400079853,128
First Meetings: In the Enderverse,Orson Scott Card,3.83,1841493112,228
The Brief and Frightening Reign of Phil,George Saunders,3.70,1594481520,130
Good in Bed (Cannie Shapiro  #1),Jennifer Weiner,3.71,743418174,376
And Then There Were None,Agatha Christie,4.25,312330871,264
Plum Lovin' (Stephanie Plum  #12.5),Janet Evanovich,3.72,312306342,164
The Assault,Reinaldo Arenas-Andrew Hurley-Thomas Colchie,3.78,140157182,176
First Love: A Gothic Tale,Joyce Carol Oates-Barry Moser-Erhan Sunar,3.19,088001508X,86
The Origins of Totalitarianism,Hannah Arendt,4.27,805242252,674
Last Man Standing,David Baldacci,4.05,446611778,640
Neptune Noir: Unauthorized Investigations into Veronica Mars,Rob Thomas-Leah Wilson-Heather Havrilesky-Amy Berner-Lynne Edwards-John  Ramos-Alafair Burke-Chris McCubbin-Lawrence Watt-Evans-Lani Diane Rich-Geoff Klock-Judy Fitzwater-Evelyn Vaughn-Joyce Millman-Amanda Ann Klein-Kristen Kidder-Jesse Hassenger-Gwen Ellery-Misty Hook-Samantha Bornemann,3.64,1933771135,224
Not So Big House,Sarah Susanka-Kira Obolensky,4.07,1561583766,208
It's a Magical World (Calvin and Hobbes #11),Bill Watterson,4.76,836221362,176
The Time of the Ghost,Diana Wynne Jones,3.66,64473546,291
Cat Among the Pigeons (Hercule Poirot  #34),Agatha Christie,3.83,425205967,352
The Case Of The Golden Key (Jigsaw Jones Mystery #19),James Preller-Jamie  Smith,3.85,439426286,80
The Lemon Table,Julian Barnes,3.67,1400076501,241
Dooby Dooby Moo,Doreen Cronin-Betsy Lewin,4.10,689845073,40
A River Runs Through It,Norman Maclean-Barry Moser,4.17,226500608,168
At the Edge (Psychic Triplet Trilogy  #1),Cait London,3.79,61140503,384
Los hermanos Karamazov,Fyodor Dostoyevsky-Alexander Pushkin-Guillermo Suazo Pascual,4.32,847640509X,805
Lucie Babbidge's House,Sylvia Cassedy,3.75,038071812X,242
The Vanished Man (Lincoln Rhyme  #5),Jeffery Deaver,4.09,743437810,560
Daughter of the Empire (The Empire Trilogy  #1),Raymond E. Feist-Janny Wurts,4.26,586074813,528
Dinner with Anna Karenina,Gloria Goldreich,2.96,778322270,368
Lost City (NUMA Files  #5),Clive Cussler-Paul Kemprecos,3.89,425204197,515
Un nuevo amanecer,Sandra Brown-Delia Mateovich,3.98,1400001048,560
The New Knighthood: A History of the Order of the Temple,Malcolm Barber,3.85,521558727,441
Trainspotting (Mark Renton  #2),Irvine Welsh,4.09,393057240,340
We'll Meet Again,Mary Higgins Clark,3.85,743484312,234
The Enchanted Castle,E. Nesbit-H.R. Millar,3.85,140367438,291
The Gambler,Fyodor Dostoyevsky-Jonathan Franzen,3.88,184391123X,160
El gran libro de la Dragonlance,Margaret Weis-Tracy Hickman-Marta Perez,4.33,8477225397,124
The Burglar Who Liked to Quote Kipling (Bernie Rhodenbarr  #3),Lawrence Block,3.83,60731257,304
Around the World in 8 1/2 Days (Judy Moody #7),Megan McDonald-Peter H. Reynolds,4.15,763628328,157
Coming Into the Country,John McPhee,4.22,374522871,448
How to Win Friends and Influence People,Dale Carnegie,4.18,91906814,268
A Preface to Democratic Theory,Robert A. Dahl,3.62,226134342,200
The Dance of Life: Weaving Sorrows and Blessings Into One Joyful Step,Henri J.M. Nouwen-Michael    Ford,4.22,1594710872,219
Dancing Girls and Other Stories,Margaret Atwood,3.63,385491093,243
The Foundling,Georgette Heyer-Kay Hooper,3.85,373835493,406
My Name Is Asher Lev,Chaim Potok,4.20,1400031044,369
Journey Into Fear,Eric Ambler,3.92,375726721,288
Jerusalem Inn (Richard Jury  #5),Martha Grimes,3.96,451411617,320
Rethinking the Economics of War: The Intersection of Need  Creed  and Greed,Cynthia J. Arnson-I. William Zartman,3.44,801882982,320
The Dog Who Loved Too Much: Tales  Treatments and the Psychology of Dogs,Nicholas Dodman,4.09,553375261,258
Hope is the Thing with Feathers: A Personal Chronicle of Vanished Birds,Christopher Cokinos,4.21,446677493,384
Lithium for Medea,Kate Braverman-Rick Moody,3.94,1583224718,362
The Basque History of the World: The Story of a Nation,Mark Kurlansky,3.84,140298517,400
The Cat's Fancy,Julie Kenner,3.58,505523973,391
Confessions of a Pagan Nun,Kate Horsley,3.88,1570629137,191
Blow Fly (Kay Scarpetta  #12),Patricia Cornwell,3.76,425198731,467
Pat of Silver Bush (Pat  #1),L.M. Montgomery,3.90,770422470,288
Herr Lehmann,Sven Regener,3.86,3442453305,286
Robert Van Gulik: His Life His Work,Janwillem van de Wetering-Arthur P. Yin,3.56,156947124X,149
Jack & Jill (Alex Cross  #3),James Patterson,3.96,446692654,466
A Thread of Grace,Mary Doria Russell,4.02,449004139,442
A Christmas Story,Jean Shepherd,4.09,767916220,131
The Inimitable Jeeves (Jeeves  #2),P.G. Wodehouse,4.25,140284125,240
Vagabond  Volume 20,Takehiko Inoue,4.41,1591165830,224
Mountains Beyond Mountains: The Quest of Dr. Paul Farmer  a Man Who Would Cure the World,Tracy Kidder,4.22,812973011,333
La Caida de Hyperion,Dan Simmons,4.20,8440638736,719
Buddhism: A Concise Introduction,Huston Smith-Philip Novak,3.89,60730676,256
After,Francine Prose,3.50,60080833,352
Be the Person You Want to Find: Relationship and Self-Discovery,Cheri Huber-June Shiver,4.27,963625527,228
A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle,4.21,62545035,246
Maverick: The Success Story Behind the World's Most Unusual Workplace,Ricardo Semler,4.16,712678867,336
The Trolley Car Family,Eleanor Clymer-Ursula Koering,4.14,590407325,256
Cook's Illustrated 2003 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,4.67,936184728,212
Junie B.  First Grader: Cheater Pants (Junie B. Jones  #21),Barbara Park-Denise Brunkus,4.03,375823026,86
Quicksand,Nella Larsen,3.67,486451402,125
The Bad Place,Dean R. Koontz,3.89,425195481,427
Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,738
The Eleventh Hour,Graeme Base,4.31,810932652,32
The Bride Finder (St. Leger  #1),Susan Carroll,3.81,449003884,416
The Delta Star,Joseph Wambaugh,3.64,553273868,291
The Politics and The Constitution of Athens,Aristotle-Stephen Everson,3.94,521484006,327
What Would You Do? (American Girl Library),Patti Kelley Criswell-Norm Bendell,4.30,1584858745,63
Bringing Down The House,Ben Mezrich,3.88,99468239,320
Death of an Outsider (Hamish Macbeth  #3),M.C. Beaton,3.83,446614726,194
Where the Red Fern Grows with Connections,Wilson Rawls-Rafe Martin-Borden Deal-Kemp P. Battle-Robert Bethke-Harold Courlander-Maya Angelou-Nicholasa Mohr-Dick Perry-John R. Erickson,4.37,30547741,288
Changing Planes,Ursula K. Le Guin-Eric Beddows,3.81,441012248,239
Jimmy Stewart: The Truth Behind the Legend,Michael Munn,3.95,1569803102,317
Why Orwell Matters,Christopher Hitchens,3.94,465030505,211
Mindstar Rising (Greg Mandel  #1),Peter F. Hamilton,3.92,812590562,432
The Iliad  Books 8-9 (Classical Texts Series),Homer-Charles H. Wilson,4.50,856686271,224
The Christmas Books of Charles Dickens: A Christmas Carol   Christmas Festivities  The Story of the Goblins Who Stole a Sexton  A Christmas Tree  The Seven Poor Travellers  The Haunted Man + A Christmas episode from Master Humphrey's Clock,Charles Dickens,4.13,681984112,455
A History of Philosophy  Vol. 1: Greece and Rome  From the Pre-Socratics to Plotinus,Frederick Charles Copleston,4.08,385468431,521
Waiting for My Cats to Die: A Memoir,Stacy Horn,3.67,312287445,320
The Complete Stories of Robert Louis Stevenson: Strange Case of Dr. Jekyll and Mr. Hyde and Nineteen Other Tales,Robert Louis Stevenson-Barry Menikoff,4.12,375761357,818
Camus at Combat: Writing 1944-1947,Albert Camus-Jacqueline Levi-Valensi-Arthur Goldhammer-David Carroll,4.16,691120048,334
The Lost World & Other Stories,Arthur Conan Doyle-Cedric Watts,4.03,1853262455,480
The Alienist (Dr. Laszlo Kreizler  #1),Caleb Carr,4.06,812976142,498
Crooked Little Vein,Warren Ellis,3.82,60723939,288
The Whore's Child and Other Stories,Richard Russo,3.75,009943752X,240
The Price of Pleasure (Sutherland Brothers  #2),Kresley Cole,4.00,743466500,353
Hercule Poirot's Casebook (Hercule Poirot  #42),Agatha Christie,4.30,399150218,861
Night Falls Fast: Understanding Suicide,Kay Redfield Jamison,4.09,375701478,432
The Big Knockover: Selected Stories and Short Novels,Dashiell Hammett-Lillian Hellman-Jeff Stone,4.18,679722599,480
The Undead and Philosophy: Chicken Soup for the Soulless,Richard V. Greene-K. Silem Mohammad,3.71,812696018,288
Underground! The Disinformation Guide to Ancient Civilizations  Astonishing Archaeology and Hidden History,Preston Peet,3.84,1932857192,343
Oh  Play That Thing,Roddy Doyle,3.28,014303605X,384
Assassin's Apprentice (Farseer Trilogy  #1),Robin Hobb,4.15,6480098,460
Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings,The Harvard Lampoon-Henry N. Beard-Douglas C. Kenney,3.12,451452615,149
The School Skeleton (A to Z Mysteries  #19),Ron Roy-John Steven Gurney,3.99,375813683,96
The Art of Alfred Hitchcock: Fifty Years of His Motion Pictures,Donald Spoto,4.08,385418132,496
What Do You Care What Other People Think?,Richard Feynman,4.27,393320928,256
The Wild Shore (Three Californias Triptych  #1),Kim Stanley Robinson,3.75,312890362,384
Dress Your Family in Corduroy and Denim,David Sedaris,4.10,965904830,272
The Gardens of Emily Dickinson,Judith Farr-Louise Carter,3.86,067401829X,350
The Best of Roald Dahl,Roald Dahl,4.38,679729917,520
The Quiet American,Graham Greene-Robert  Stone,3.97,143039024,180
Clock of the Long Now: Time and Responsibility: The Ideas Behind the World's Slowest Computer,Stewart Brand,4.11,465007805,208
A Pale View of Hills,Kazuo Ishiguro,3.73,571225373,183
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,441172695,331
Five Go to Smuggler's Top (Famous Five  #4),Enid Blyton,4.05,340796189,266
Deadly Love (Francesca Cahill Deadly  #1),Brenda Joyce,3.98,312977670,338
More of the Straight Dope,Cecil Adams-Ed Zotti-Slug Signorino,4.25,345351452,512
The Roald Dahl Omnibus: Perfect Bedtime Stories for Sleepless Nights,Roald Dahl,4.35,880291230,681
Immortality,Milan Kundera-Peter Kussi,4.13,057114456X,400
Naked Came the Manatee,Carl Hiaasen-Elmore Leonard-Dave Barry-James W. Hall-Edna Buchanan-Les Standiford-Paul Levine-Brian Antoni-Tananarive Due-John Dufresne-Vicki Hendricks-Carolina Hospital-Evelyn Mayerson,3.49,449001245,208
Drina Dances in Switzerland,Jean Estoril-Jenny Sanders,4.03,750002441,188
Eclogues. Georgics. Aeneid: Books 1-6,Virgil-Henry Rushton Fairclough-G.P. Goold,4.31,067499583X,607
The Criss Cross,Crystal Lacey Winslow,4.21,971702128,360
Winston S. Churchill  Volume VIII: 'Never Despair ' 1945-1965,Martin  Gilbert,4.25,395419182,1438
Graphic Storytelling and Visual Narrative,Will Eisner,4.09,961472820,164
Lost Stories,Dashiell Hammett-Vince Emery-Joe Gores,3.98,972589813,342
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.87,553803816,368
Heart of Darkness,Joseph Conrad,3.42,1892295490,188
American Tragedy: Kennedy  Johnson  and the Origins of the Vietnam War,David E. Kaiser,3.50,674006720,576
The Feynman Lectures on Physics Vol 3,Richard P. Feynman-Robert B. Leighton-Matthew L. Sands,4.62,805390499,384
There's No Place Like Here,Cecelia Ahern,3.67,1401301886,340
The Gap Into Vision: Forbidden Knowledge (Gap  #2),Stephen R. Donaldson,3.99,553297600,480
Venice: Lion City: The Religion of Empire,Garry Wills,3.74,671047647,416
The Collected Works of Billy the Kid,Michael Ondaatje,3.99,747572607,105
Bleach  Volume 19,Tite Kubo,4.36,142151043X,216
Everville (Book of the Art #2),Clive Barker,4.03,60933151,697
Kirk: The Star to Every Wandering (Star Trek: Crucible  #3),David R. George III,3.71,074349170X,320
The Western Canon: The Books and School of the Ages,Harold Bloom,3.87,1573225142,560
The Spy Who Loved Me (James Bond  #10),Ian Fleming,3.40,142003263,198
New X-Men: Omnibus,Grant Morrison-Marc Silvestri-Chris Bachalo-John Paul Leon-Frank Quitely-Leinil Francis Yu-Igor Kordey-Ethan Van Sciver-Keron Grant-Tom Derenick-Phil Jimenez,4.22,785123261,1096
Il nome della rosa,Umberto Eco,4.12,8845246345,533
Passage,Connie Willis,3.69,553580515,780
The Out-of-Sync Child Has Fun: Activities for Kids with Sensory Processing Disorder,Carol Stock Kranowitz-T.J. Wylie,4.23,399532714,352
Black House (The Talisman  #2),Stephen King-Peter Straub,4.00,034547063X,688
Der Druide von Shannara (Die Elfensteine von Shannara  book 2 of 3),Terry Brooks-Mechthild Sandberg,3.46,3442249783,218
Desire and Duty: A Sequel to Jane Austen's Pride and Prejudice,Ted Bader-Marilyn Bader,2.85,965429903,286
La hierba del diablo (La Torre Oscura  #1),Stephen King-Jordi Mustieles,3.96,8440607466,232
Barracuda 945 (Admiral Arnold Morgan  #6),Patrick Robinson,3.96,60086637,498
The Other Boleyn Girl,Philippa Gregory,4.05,743269837,664
The Family That Couldn't Sleep: A Medical Mystery,D.T. Max,3.90,1400062454,299
Twelve Ordinary Men,John F. MacArthur Jr.,4.20,849917735,224
The Modern Prince and Other Writings,Antonio Gramsci,3.90,717801330,192
Illuminata: A Return to Prayer,Marianne Williamson,4.32,1573225207,301
The Serpent and the Rainbow,Wade Davis,3.91,684839296,304
Teacher Man (Frank McCourt  #3),Frank McCourt,3.75,743243781,272
Novels and Stories,Zora Neale Hurston-Cheryl A. Wall,4.37,940450836,1054
Organized Crime,Michael D. Lyman-Gary W. Potter,3.83,131730363,496
Beloved,Toni Morrison,3.81,1400033411,324
Paris Was Yesterday  1925-1939,Janet Flanner-Irving Drutman,3.87,156709902,264
Wolfcry (The Kiesha'ra  #4),Amelia Atwater-Rhodes,3.77,385731957,198
Fifty Degrees Below (Science in the Capital  #2),Kim Stanley Robinson,3.69,553585819,640
Hamlet in Purgatory,Stephen Greenblatt,3.94,691102570,344
The Van,Roddy Doyle,3.94,043620052X,312
Christian Mythmakers: C.S. Lewis  Madeleine L'Engle  J.R.R. Tolkien  George MacDonald  G.K. Chesterton  Charles Williams  Dante Alighieri  John Bunyan  Walter Wangerin  Robert Siegel  and Hannah Hurnard,Rolland Hein-Clyde S. Kilby,3.93,094089548X,303
Collected Stories III: One Night in Brazil to The Death of Methuselah,Isaac Bashevis Singer-Ilan Stavans,4.62,1931082634,915
The Iliad,Homer-Robert Fagles-Bernard Knox,3.85,140275363,683
More Tales of the City (Tales of the City  #2),Armistead Maupin,4.19,055299877X,288
Mother God: The Feminine Principle to Our Creator,Sylvia Browne,4.04,1401903096,128
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.15,744583276,178
The Mottled Lizard,Elspeth Huxley,4.00,014005958X,334
Rash,Pete Hautman,3.75,689868014,256
One Door Away from Heaven,Dean Koontz,3.96,553582755,681
Gunslinger and Nine Other Action-Packed Stories of the Wild West,Ed Gorman-Bill Pronzini,4.25,1569800367,131
The Burnt Orange Heresy,Charles Willeford,3.91,786706686,144
